"ID","釣り方","レベル","種類","メーカー","商品名","番手・モデル","AmazonアソシエイトURL","状態"
"001","エギング","初級者","ロッド","DAIWA","エメラルダス X 83ML","83ML","","未設定"
"002","エギング","初級者","ロッド","SHIMANO","セフィア BB","S83ML","","未設定"
"003","エギング","初級者","リール","DAIWA","クレスト LT2500S-XH","LT2500S-XH","","未設定"
"004","エギング","初級者","リール","SHIMANO","シエナ","C3000","","未設定"
"005","エギング","中級者","ロッド","DAIWA","エメラルダス AIR","8ft前後・ML〜MLMクラス","","未設定"
"006","エギング","中級者","ロッド","SHIMANO","セフィア XR","S86ML","","未設定"
"007","エギング","中級者","リール","DAIWA","25 エメラルダス AIR LT2500S","LT2500S","","未設定"
"008","エギング","中級者","リール","SHIMANO","ストラディック","C3000","","未設定"
"009","エギング","上級者","ロッド","DAIWA","エメラルダス STOIST RT 88ML","88ML","","未設定"
"010","エギング","上級者","ロッド","SHIMANO","セフィア リミテッド","S86ML","","未設定"
"011","エギング","上級者","リール","DAIWA","エアリティ LT2500Sクラス","LT2500S","","未設定"
"012","エギング","上級者","リール","SHIMANO","ツインパワー","C3000","","未設定"
"013","アジング","初級者","ロッド","DAIWA","月下美人 AJING","6.3〜7ft前後・UL〜L","","未設定"
"014","アジング","初級者","ロッド","SHIMANO","ソアレ BB アジング","S64UL","","未設定"
"015","アジング","初級者","リール","DAIWA","23 レガリス","LT2000S-P","","未設定"
"016","アジング","初級者","リール","SHIMANO","シエナ","C2000","","未設定"
"017","アジング","中級者","ロッド","DAIWA","月下美人 AIR","6ft台・UL〜L","","未設定"
"018","アジング","中級者","ロッド","SHIMANO","ソアレ XR アジング","S64L","","未設定"
"019","アジング","中級者","リール","DAIWA","月下美人 LT2000S","LT2000S","","未設定"
"020","アジング","中級者","リール","SHIMANO","ヴァンフォード","C2000S","","未設定"
"021","アジング","上級者","ロッド","DAIWA","月下美人 EX","6ft前後・ULクラス","","未設定"
"022","アジング","上級者","ロッド","SHIMANO","ソアレ リミテッド アジング","S64UL","","未設定"
"023","アジング","上級者","リール","DAIWA","エアリティ LT2000S系","LT2000S系","","未設定"
"024","アジング","上級者","リール","SHIMANO","ツインパワー","C2000SS","","未設定"
"025","メバリング","初級者","ロッド","DAIWA","月下美人 メバル","7ft前後・UL〜L","","未設定"
"026","メバリング","初級者","ロッド","SHIMANO","ソアレ BB メバリング","S610L","","未設定"
"027","メバリング","初級者","リール","DAIWA","23 レガリス","LT2000S-XH","","未設定"
"028","メバリング","初級者","リール","SHIMANO","シエナ","C2000","","未設定"
"029","メバリング","中級者","ロッド","DAIWA","月下美人 MX","6.5〜7.5ft・L前後","","未設定"
"030","メバリング","中級者","ロッド","SHIMANO","ソアレ XR メバリング","S610L","","未設定"
"031","メバリング","中級者","リール","DAIWA","月下美人 LT2000S","LT2000S","","未設定"
"032","メバリング","中級者","リール","SHIMANO","ヴァンフォード","C2000S","","未設定"
"033","メバリング","上級者","ロッド","DAIWA","月下美人 EX","6〜7ft前後・Lクラス","","未設定"
"034","メバリング","上級者","ロッド","SHIMANO","ソアレ リミテッド メバリング","S610L","","未設定"
"035","メバリング","上級者","リール","DAIWA","エアリティ LT2000S系","LT2000S系","","未設定"
"036","メバリング","上級者","リール","SHIMANO","ツインパワー","C2000SS","","未設定"
"037","シーバス","初級者","ロッド","DAIWA","ルアーニスト 86ML","86ML","","未設定"
"038","シーバス","初級者","ロッド","SHIMANO","エクスセンス BB","S86ML","","未設定"
"039","シーバス","初級者","リール","DAIWA","23 レガリス","LT3000-CXH","","未設定"
"040","シーバス","初級者","リール","SHIMANO","シエナ","C3000","","未設定"
"041","シーバス","中級者","ロッド","DAIWA","ラテオ 86ML・K","86ML・K","","未設定"
"042","シーバス","中級者","ロッド","SHIMANO","エクスセンス ジェノス","S86ML","","未設定"
"043","シーバス","中級者","リール","DAIWA","セルテート LT3000-XH","LT3000-XH","","未設定"
"044","シーバス","中級者","リール","SHIMANO","ストラディック","C3000MHG","","未設定"
"045","シーバス","上級者","ロッド","DAIWA","モアザン 86ML","86ML","","未設定"
"046","シーバス","上級者","ロッド","SHIMANO","エクスセンス ∞(インフィニティ)","S86ML","","未設定"
"047","シーバス","上級者","リール","DAIWA","セルテート LT3000-XH","LT3000-XH","","未設定"
"048","シーバス","上級者","リール","SHIMANO","ツインパワー","C3000MHG","","未設定"
"049","ライトショアジギング","初級者","ロッド","DAIWA","ルアーニスト 96M","96M","","未設定"
"050","ライトショアジギング","初級者","ロッド","SHIMANO","コルトスナイパー BB","S96M","","未設定"
"051","ライトショアジギング","初級者","リール","DAIWA","23 レガリス","LT4000-CXH","","未設定"
"052","ライトショアジギング","初級者","リール","SHIMANO","サハラ","C5000","","未設定"
"053","ライトショアジギング","中級者","ロッド","DAIWA","ドラッガー X 96ML","96ML","","未設定"
"054","ライトショアジギング","中級者","ロッド","SHIMANO","コルトスナイパー XR","S96ML","","未設定"
"055","ライトショアジギング","中級者","リール","DAIWA","レグザ LT4000-CXH","LT4000-CXH","","未設定"
"056","ライトショアジギング","中級者","リール","SHIMANO","ストラディック","C5000XG","","未設定"
"057","ライトショアジギング","上級者","ロッド","DAIWA","ドラッガー SX","9.6ft前後・ML〜M","","未設定"
"058","ライトショアジギング","上級者","ロッド","SHIMANO","コルトスナイパー XR","S100MH","","未設定"
"059","ライトショアジギング","上級者","リール","DAIWA","セルテート LT4000-CXH","LT4000-CXH","","未設定"
"060","ライトショアジギング","上級者","リール","SHIMANO","ツインパワー SW","5000HG","","未設定"
"061","ショアジギング","初級者","ロッド","DAIWA","ショアジギング X 96M","96M","","未設定"
"062","ショアジギング","初級者","ロッド","SHIMANO","コルトスナイパー BB","S100MH","","未設定"
"063","ショアジギング","初級者","リール","DAIWA","24 レブロス","LT5000-CXH","","未設定"
"064","ショアジギング","初級者","リール","SHIMANO","サハラ","C5000","","未設定"
"065","ショアジギング","中級者","ロッド","DAIWA","ドラッガー X 96M","96M","","未設定"
"066","ショアジギング","中級者","ロッド","SHIMANO","コルトスナイパー XR","S96M","","未設定"
"067","ショアジギング","中級者","リール","DAIWA","セルテート LT5000D-CXH","LT5000D-CXH","","未設定"
"068","ショアジギング","中級者","リール","SHIMANO","ストラディック SW","5000XG","","未設定"
"069","ショアジギング","上級者","ロッド","DAIWA","ドラッガー SX","9.6〜10.0ft・M〜MH","","未設定"
