"ID","釣り方","レベル","種類","メーカー","商品名","番手・モデル","商品画像URL","状態"
"001","エギング","初級者","ロッド","DAIWA","エメラルダス X 83ML","83ML","https://hbb.afl.rakuten.co.jp/hgb/569c27c2.a90de95f.569c27c3.6b55682b/?me_id=1191201&item_id=12767975&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fpoint%2Fcabinet%2F793%2F4550133440793.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"002","エギング","初級者","ロッド","SHIMANO","セフィア BB","S83ML","https://hbb.afl.rakuten.co.jp/hgb/569c1367.468ae0af.569c1368.531b155e/?me_id=1210725&item_id=10162615&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Ffishing-you%2Fcabinet%2Fitem492%2F4969363354020_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"003","エギング","初級者","リール","DAIWA","クレスト LT2500S-XH","LT2500S-XH","https://hbb.afl.rakuten.co.jp/hgb/569c27c2.a90de95f.569c27c3.6b55682b/?me_id=1191201&item_id=12611144&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fpoint%2Fcabinet%2F431%2F4960652309431.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"004","エギング","初級者","リール","SHIMANO","シエナ","C3000","https://hbb.afl.rakuten.co.jp/hgb/569c28a4.76d20d82.569c28a5.6b7dc3fc/?me_id=1271939&item_id=10248668&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Ffishingmax-webshop%2Fcabinet%2Fitmimg%2F01248%2F124897_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"005","エギング","中級者","ロッド","DAIWA","エメラルダス AIR","8ft前後・ML〜MLMクラス","https://hbb.afl.rakuten.co.jp/hgb/569d3d17.32c04010.569d3d18.f33c3d6e/?me_id=1418890&item_id=10014274&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fyokootsurigu%2Fcabinet%2Fimage_06%2F4550133339271.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"006","エギング","中級者","ロッド","SHIMANO","セフィア XR","S86ML","https://hbb.afl.rakuten.co.jp/hgb/569c1367.468ae0af.569c1368.531b155e/?me_id=1210725&item_id=10143279&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Ffishing-you%2Fcabinet%2Fitem420%2F4969363302762_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"007","エギング","中級者","リール","DAIWA","25 エメラルダス AIR LT2500S","LT2500S","https://hbb.afl.rakuten.co.jp/hgb/569c2aea.3c718ba1.569c2aec.7f9fff91/?me_id=1311623&item_id=10580685&pc=https%3A%2F%2Fimage.rakuten.co.jp%2Fcasting%2Fcabinet%2Fxm320%2F4550133579561-1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"008","エギング","中級者","リール","SHIMANO","ストラディック","C3000","https://hbb.afl.rakuten.co.jp/hgb/569d3f05.45ab33b1.569d3f06.0460164c/?me_id=1306383&item_id=10111070&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fangle%2Fcabinet%2Fnew_d230628%2F4969363045867.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"009","エギング","上級者","ロッド","DAIWA","エメラルダス STOIST RT 88ML","88ML","https://hbb.afl.rakuten.co.jp/hgb/569c27c2.a90de95f.569c27c3.6b55682b/?me_id=1191201&item_id=12800238&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fpoint%2Fcabinet%2F162%2F4550133129162.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"010","エギング","上級者","ロッド","SHIMANO","セフィア リミテッド","S86ML","https://hbb.afl.rakuten.co.jp/hgb/569d40aa.43a588d4.569d40ab.0d37a3ae/?me_id=1333720&item_id=17722298&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fpoint-eastjapan%2Fcabinet%2F923%2F4969363277923.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"011","エギング","上級者","リール","DAIWA","エアリティ LT2500Sクラス","LT2500S","https://hbb.afl.rakuten.co.jp/hgb/569c2aea.3c718ba1.569c2aec.7f9fff91/?me_id=1311623&item_id=10505436&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fcasting%2Fcabinet%2Fxm241%2F4550133110580.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"012","エギング","上級者","リール","SHIMANO","ツインパワー","C3000","https://hbb.afl.rakuten.co.jp/hgb/569c31a8.ba41bf59.569c31a9.12ed4d4d/?me_id=1404987&item_id=10007645&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fmasubito%2Fcabinet%2Fshohin09%2Fsale4969363046819.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"013","アジング","初級者","ロッド","DAIWA","月下美人 AJING","6.3〜7ft前後・UL〜L","https://hbb.afl.rakuten.co.jp/hgb/569c30cb.e9b5cd4b.569c30cc.2ae5a817/?me_id=1196403&item_id=17466495&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fnaturum%2Fcabinet%2Fgoods%2F030448%2F93_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"014","アジング","初級者","ロッド","SHIMANO","ソアレ BB アジング","S64UL","https://hbb.afl.rakuten.co.jp/hgb/569c1367.468ae0af.569c1368.531b155e/?me_id=1210725&item_id=10179166&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Ffishing-you%2Fcabinet%2Fitem551%2F4969363334756_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"015","アジング","初級者","リール","DAIWA","23 レガリス","LT2000S-P","https://hbb.afl.rakuten.co.jp/hgb/569c2aea.3c718ba1.569c2aec.7f9fff91/?me_id=1311623&item_id=10520782&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fcasting%2Fcabinet%2Fxm264%2F4550133162633.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"016","アジング","初級者","リール","SHIMANO","シエナ","C2000","https://hbb.afl.rakuten.co.jp/hgb/569d76a9.ebec042e.569d76aa.9de900e8/?me_id=1366413&item_id=10669456&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fnaturum-fishing%2Fcabinet%2Fgoods%2F029806%2F52_1.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"017","アジング","中級者","ロッド","DAIWA","月下美人 AIR","6ft台・UL〜L","https://hbb.afl.rakuten.co.jp/hgb/569c2aea.3c718ba1.569c2aec.7f9fff91/?me_id=1311623&item_id=10548448&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fcasting%2Fcabinet%2Fxm278%2F4550133338311.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"018","アジング","中級者","ロッド","SHIMANO","ソアレ XR アジング","S64L","https://hbb.afl.rakuten.co.jp/hgb/569c27c2.a90de95f.569c27c3.6b55682b/?me_id=1191201&item_id=12624165&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fpoint%2Fcabinet%2F358%2F4969363354358.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"019","アジング","中級者","リール","DAIWA","月下美人 LT2000S","LT2000S","https://hbb.afl.rakuten.co.jp/hgb/569d40aa.43a588d4.569d40ab.0d37a3ae/?me_id=1333720&item_id=17456762&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fpoint-eastjapan%2Fcabinet%2F297%2F4550133393297.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
"020","アジング","中級者","リール","SHIMANO","ヴァンフォード","C2000S","https://hbb.afl.rakuten.co.jp/hgb/569d7d5b.f460a5ec.569d7d5c.e12998cd/?me_id=1261517&item_id=10078199&pc=https%3A%2F%2Fthumbnail.image.rakuten.co.jp%2F%400_mall%2Fmarunishi%2Fcabinet%2Fneko26%2F4969363047014.jpg%3F_ex%3D240x240&s=240x240&t=pict","設定済み"
